Rank,Score,Company,Role Title,Type,Comp Benchmark,Why It Fits Alex,Lead Angle for Resume/Cover Letter,Job URL
1,9,Datadog,Senior Product Manager - Database AI Optimization,Hybrid,~$200K-$240K base; ~$320K-$420K total comp (Levels.fyi Senior PM at Datadog).,"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for Datadog's trust-and-security surface.","Anchor the pitch on identity-and-access depth: LBR's SSO/SAML/OIDC rollout and Manatt IAM for 1,000+ clients. Pitch him as an engineering-fluent PM who can take LLM/Agent Observability from concept to shipped product.",Open
2,9,Datadog,Senior Technical Product Marketing Manager - Security,Hybrid,"~$170K-$210K base; ~$250K-$330K total comp (Glassdoor/estimate, senior technical PMM).","Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for Datadog's trust-and-security surface.","Anchor the pitch on identity-and-access depth: LBR's SSO/SAML/OIDC rollout and Manatt IAM for 1,000+ clients. Pitch him as an engineering-fluent PM who can take LLM/Agent Observability from concept to shipped product.",Open
3,7,FactSet,"Principal Product Manager, AI Data Solutions",On-site,~$165K-$210K base; total ~$220K-$300K with bonus (Glassdoor/estimate FactSet Principal PM),"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for FactSet's trust-and-security surface.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a technical PM who has led at IC/lead scope; be transparent that this title implies broader people-management than his current span.",Open
4,7,FanDuel,"Lead Product Manager, Payments",Hybrid,$129K-$171.1K base per posting; total comp ~$180K-$240K with bonus/equity (posting + estimate),"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for FanDuel's trust-and-security surface.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
5,7,FanDuel,"Lead Product Manager, Payments",Hybrid,~$129K-$171K base; ~$180K-$240K total (Glassdoor/posting estimate),"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for FanDuel's trust-and-security surface.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
6,7,Figma,"Director, Product - Enterprise",On-site,"~$250K-$320K base; ~$450K-$650K+ total comp incl. equity (Levels.fyi/Glassdoor estimate, Figma Director PM).","Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for Figma's trust-and-security surface.",Open the resume on the LBR identity re-platform -- SSO/SAML/OIDC for 150+ AmLaw 200 firms and subscription at billions of requests/mo. Frame Alex honestly as a hands-on technical PM operating at IC/lead scope rather than a large-org people manager.,Open
7,7,Fireblocks,"Senior Product Manager, Fireblocks Trust Company",Hybrid,"NYC est. $190K-$240K base, $260K-$380K TC with equity (Levels.fyi skews low w/ intl; senior NYC infra PM higher)","Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for Fireblocks's trust-and-security surface.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
8,7,Innovid,"Senior Product Manager, Identity",Hybrid,~$150K-$190K base; total ~$180K-$250K with bonus (Glassdoor/estimate ad-tech Sr PM),"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for Innovid's trust-and-security surface.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
9,7,JPMorganChase,Senior AI Product Manager,On-site,$122.6K-$201K base per posting; ~$165K-$270K total (posting + estimate),"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for JPMorganChase's trust-and-security surface.","Lead the cover letter with LBR enterprise identity and access at scale (SSO/SAML/OIDC, billions of requests/mo). Position him as a hands-on technical PM comfortable owning ambiguous, technical 0-to-1 work.",Open
10,7,MongoDB,"Senior Data Product Manager, Product Telemetry",Remote,~$170K-$210K base; ~$250K-$330K total comp (Levels.fyi Senior PM at MongoDB).,"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for MongoDB's trust-and-security surface.",Open the resume on the LBR identity re-platform -- SSO/SAML/OIDC for 150+ AmLaw 200 firms and subscription at billions of requests/mo. Frame Alex as a technical PM who ships 0-to-1 and partners tightly with engineering.,Open
11,7,MongoDB,"Senior Staff Product Manager, Query",Remote,~$210K-$250K base; ~$330K-$450K total comp (Levels.fyi Staff PM at MongoDB).,"Alex has lived this problem from the inside: at LBR (Law Business Research) Alex re-platformed the identity & subscription system to handle billions of requests/mo across 10+ products, and ran SSO/SAML/OIDC onboarding for 150+ AmLaw 200 firms. Combined with leading IAM at Manatt for 1,000+ clients, it's a direct fit for MongoDB's trust-and-security surface.",Open the resume on the LBR identity re-platform -- SSO/SAML/OIDC for 150+ AmLaw 200 firms and subscription at billions of requests/mo. Frame Alex as a technical PM who ships 0-to-1 and partners tightly with engineering.,Open
