Company,Stage,Funding / Backing,HQ,Size,What They Do,AI Focus,Recent (2025-26),Website,# Roles
Adobe,public (NASDAQ: ADBE),Public; FY2025 revenue ~$22-23B,"San Jose, CA (NYC office for these roles)","~30,000 employees","Creative, document, and experience-cloud software leader","Firefly generative AI, Acrobat AI Assistant, AI in Creative Cloud and Experience Cloud; heavy push into agentic and forward-deployed AI",2025-2026: expanded Firefly models and Acrobat/Express AI; growing 'forward-deployed' AI PM org to embed AI with enterprise customers,https://www.adobe.com,3
Adonis,Growth startup (Series C),"$40M Series C (Mar 2026, Quadrille Capital lead; General Catalyst, Point72 Ventures, Bling). ~$95M total raised",New York City,~150-250 (rapidly hiring),"AI orchestration platform for healthcare revenue cycle management (RCM) - automating claims, eligibility, denials","'Intelligence, AI Agents, and Orchestration' platform; AI agents automating RCM workflows","2026 $40M Series C; 4x revenue growth in 2025, net retention >130%",adonis.io,1
"Aledade, Inc.","growth (late-stage private, last valued ~$3.5B+)","Backed by Venrock, ARCH, OMERS, Lightspeed, Avidity; secured $500M credit facility (Dec 2024); hit $1B revenue and profitability in 2025","Bethesda, MD (remote-friendly)","~1,500+ employees",Physician-led value-based care company that helps independent primary-care practices succeed in ACOs and value-based contracts.,"AI/data platform for risk stratification, care-gap closure and population-health analytics across 3,000+ practices and 3M+ patients.",Added 700+ practices for 2026; $1B revenue and profitability in 2025; $500M credit facility to fund expansion.,https://aledade.com,1
Alvarez & Marsal,Large private professional-services firm (mature),"Private, partner-owned; ~$3.3B annual revenue","New York, NY","11,500+ across 90+ offices","Global management consulting — turnaround/restructuring, performance improvement, transformation, disputes","~20% of revenue AI-driven, targeting 50% by 2028; global AI board; hiring up to 200 AI-skilled staff",Major AI capability expansion and global AI board announced (2026),https://www.alvarezandmarsal.com,1
Amazon,Public (NASDAQ: AMZN),Public; >$600B annual revenue.,"Seattle, WA (NYC ad-tech & tech hubs)",~1.5M+ employees,"E-commerce, cloud (AWS), advertising, and devices conglomerate.","Bedrock/Nova foundation models, advertising AI (measurement, MMM), agentic AI, and identity/authorization infra for AI agents.",Expanding Ads AI infrastructure and agent identity/authorization work (2025-2026); broad GenAI rollout across Ads and AWS.,https://www.amazon.com,3
Amazon Web Services (AWS),"public (part of Amazon, NASDAQ: AMZN)",public; AWS is the leading cloud platform (~$100B+ annualized revenue),"Seattle, WA (NYC offices)",Amazon ~1.5M+ employees; AWS tens of thousands,"World's largest cloud computing platform (compute, storage, databases, AI/ML, security).","Bedrock (foundation models), Amazon Q, SageMaker, AI agents, and AI across the platform; AWS Support & Operations tooling.","Continued GenAI buildout (Bedrock agents, Amazon Q) and operational/support AI through 2025-2026.",https://aws.amazon.com,1
Appian,Public (NASDAQ: APPN),"Public; FY2025 revenue $726.9M (+18% YoY), cloud subs $437.4M","McLean, VA","~2,300+",AI-powered low-code process automation/orchestration platform for enterprises,"Agent Studio (build/govern AI agents in workflows), AI Skills, DocCenter (intelligent document processing)",2025: launched Agent Studio + AI Document Center; $1M+ customers grew 50%; Gartner MQ leader,appian.com,1
Applecart,growth (private equity-backed),"Total ~$118M over 5 rounds; $100M Series C from Blackstone Growth (Dec 2025); earlier backers include Endeavor, Henry Kravis, Bain Future Back Ventures","New York, NY",~150-250 employees,Relationship-based marketing/ad-tech company that maps tens of billions of social relationships to target decision-makers and their influential networks.,"Proprietary social-graph data science and measurement; relationship mapping and decision-maker marketing across political, corporate and nonprofit sectors.",$100M Series C from Blackstone (Dec 2025) to scale its marketing-technology platform.,https://applecart.co,1
Asana,Public (NYSE: ASAN),Public (IPO 2020 direct listing),"San Francisco, CA","~1,767",Cloud work-management platform built on the proprietary 'Work Graph',"AI Studio (no-code AI workflow builder), AI Teammates (collaborative agents using Work Graph context); acquired Stack AI ($75M)",Acquired Stack AI (first acquisition in 18 yrs) and launched AI Teammates (2025),https://asana.com,1
Bain & Company,private (global management consulting partnership),private; top-tier strategy consulting firm,"Boston, MA (NYC office)","~19,000+ employees","Global management consultancy advising on strategy, operations, M&A and transformation.",Bain's AI/innovation practice; building internal & client-facing AI products and tools (Bain AI alliance with OpenAI).,Expanded GenAI services and internal product/innovation capabilities through 2025.,https://www.bain.com,1
BlackRock,Public (NYSE: BLK),Public; world's largest asset manager (~$11-12T AUM),New York City,"~21,000-23,000",Investment management; Aladdin is its end-to-end portfolio/risk software licensed to institutions,Aladdin Copilot (GenAI); Aladdin AI team; Aladdin Studio developer tooling/APIs,Oct 2025: Aladdin Wealth AI 'Auto Commentary' (Morgan Stanley first client); Snowflake partnership,blackrock.com/aladdin,3
Bloomberg,"Private (large, profitable; founder-controlled)",Privately held by Bloomberg L.P.; ~$12B+ annual revenue. Not VC-funded.,"New York, NY","~21,000+ employees","Financial data, news, and analytics; flagship Bloomberg Terminal for markets professionals.","BloombergGPT/finance LLMs, GenAI developer platform, AI-ready data, document & content extraction across the Terminal and enterprise data products.",Building out a GenAI Developer Platform and 'AI-Ready Data' initiatives in the CTO Office (2025-2026) to embed LLMs across Terminal workflows.,https://www.bloomberg.com,8
Bluehost,private (brand of Newfold Digital),Owned by Newfold Digital (PE-backed by Clearlake & Siris); not separately funded,"Remote / Newfold (HQ Jacksonville, FL & Burlington, MA)",Newfold serves ~7M customers; thousands of employees across brands,Web hosting & domain platform for SMBs (part of Newfold's brand portfolio),"AI-powered SaaS for SMBs: WonderSuite AI website builder, AI site optimization; building an AI-driven platform on Oracle Cloud",2025: migrated to Oracle Cloud Infrastructure (4-5x response improvements) and appointed new CTO/CMO/CFO to accelerate AI-powered SaaS,https://www.bluehost.com,1
BNY,"Public (NYSE: BK), America's oldest bank",Public; investing billions in tech/AI,"New York, NY","~50,000+","Global custody bank and financial-infrastructure provider (asset servicing, treasury, payments, securities)","'Eliza' internal agent-building platform (125+ live use cases, 134 'digital employees'); OpenAI and Google Cloud (Gemini Enterprise) partnerships; 20,000 employees building agents",Gemini Enterprise integration (Dec 2025) and Eliza 2.0 / 'digital employees' scale-up (2025-26),https://www.bny.com,5
Brex,"Growth (late-stage; ~$12.3B valuation, pending acquisition by Capital One)","Raised $1.5B+ equity; last priced at ~$12.3B (2022). Agreed to be acquired by Capital One for ~$5.15B (2026). Investors: Greenoaks, DST, Kleiner Perkins, Ribbit, YC.","New York, NY (and SF)","~1,200 employees","Modern finance platform: corporate cards, business accounts, and AI-powered spend management for startups and enterprises.","AI-powered spend management, agentic finance workflows, automated expense/compliance, and embedded AI assistants.",Announced ~$5.15B acquisition by Capital One (2026); became operating-cash-flow positive (late 2025) and expanded into the EU/UK.,https://www.brex.com,1
