Company,Role Title,Location,Slug,Source,Submission URL,Submission Status,Submission Fingerprint,Welc.ing Packet URL (welc.ing/r/<id>),Resume PDF (light),Resume PDF (print),Cover Letter TXT,Cover Letter PDF,Pitch HTML,Pitch MP4 (if present)
AI Product / Platform,Principal / Staff Product Roles,NYC / Remote / Hybrid,generic-ai-product-platform,curated-role,,,,https://welc.ing/r/pkt-1eihmyl,https://welc.ing/packets/pkt-1eihmyl/resume-light.pdf,https://welc.ing/packets/pkt-1eihmyl/resume.pdf,https://welc.ing/packets/pkt-1eihmyl/cover-letter.txt,https://welc.ing/packets/pkt-1eihmyl/cover-letter.pdf,https://welc.ing/packets/pkt-1eihmyl/pitch.html,https://welc.ing/packets/pkt-1eihmyl/pitch.mp4
Forward-Deployed AI,Customer-Facing Applied AI Roles,NYC / Remote / Customer-facing,generic-forward-deployed-ai,curated-role,,,,https://welc.ing/r/pkt-n5bz7i,https://welc.ing/packets/pkt-n5bz7i/resume-light.pdf,https://welc.ing/packets/pkt-n5bz7i/resume.pdf,https://welc.ing/packets/pkt-n5bz7i/cover-letter.txt,https://welc.ing/packets/pkt-n5bz7i/cover-letter.pdf,https://welc.ing/packets/pkt-n5bz7i/pitch.html,https://welc.ing/packets/pkt-n5bz7i/pitch.mp4
Agent DevTools / AI Infrastructure,Agent Platform / DevTools Roles,NYC / Remote / Platform teams,generic-agent-devtools-infra,curated-role,,,,https://welc.ing/r/pkt-f7jfoa,https://welc.ing/packets/pkt-f7jfoa/resume-light.pdf,https://welc.ing/packets/pkt-f7jfoa/resume.pdf,https://welc.ing/packets/pkt-f7jfoa/cover-letter.txt,https://welc.ing/packets/pkt-f7jfoa/cover-letter.pdf,https://welc.ing/packets/pkt-f7jfoa/pitch.html,https://welc.ing/packets/pkt-f7jfoa/pitch.mp4
Document Intelligence / Knowledge AI,Document AI / Knowledge Product Roles,NYC / Remote / Regulated domains,generic-document-knowledge-ai,curated-role,,,,https://welc.ing/r/pkt-1c96ato,https://welc.ing/packets/pkt-1c96ato/resume-light.pdf,https://welc.ing/packets/pkt-1c96ato/resume.pdf,https://welc.ing/packets/pkt-1c96ato/cover-letter.txt,https://welc.ing/packets/pkt-1c96ato/cover-letter.pdf,https://welc.ing/packets/pkt-1c96ato/pitch.html,https://welc.ing/packets/pkt-1c96ato/pitch.mp4
Identity / Security / Trust for AI,AI Trust / Identity Platform Roles,NYC / Remote / Enterprise platform,generic-identity-security-ai,curated-role,,,,https://welc.ing/r/pkt-13nlmpv,https://welc.ing/packets/pkt-13nlmpv/resume-light.pdf,https://welc.ing/packets/pkt-13nlmpv/resume.pdf,https://welc.ing/packets/pkt-13nlmpv/cover-letter.txt,https://welc.ing/packets/pkt-13nlmpv/cover-letter.pdf,https://welc.ing/packets/pkt-13nlmpv/pitch.html,https://welc.ing/packets/pkt-13nlmpv/pitch.mp4
Scientific ML / Materials AI,Scientific ML Product Roles,NYC / Remote / Research-product teams,generic-scientific-ml-materials,curated-role,,,,https://welc.ing/r/pkt-1oln8sz,https://welc.ing/packets/pkt-1oln8sz/resume-light.pdf,https://welc.ing/packets/pkt-1oln8sz/resume.pdf,https://welc.ing/packets/pkt-1oln8sz/cover-letter.txt,https://welc.ing/packets/pkt-1oln8sz/cover-letter.pdf,https://welc.ing/packets/pkt-1oln8sz/pitch.html,https://welc.ing/packets/pkt-1oln8sz/pitch.mp4
Tekshapers,Marketing Expert - GenAI (Contract C2C),Remote / Michigan,tekshapers-marketing-expert-genai,curated-role,,,,https://welc.ing/r/pkt-oydz7a,https://welc.ing/packets/pkt-oydz7a/resume-light.pdf,https://welc.ing/packets/pkt-oydz7a/resume.pdf,https://welc.ing/packets/pkt-oydz7a/cover-letter.txt,https://welc.ing/packets/pkt-oydz7a/cover-letter.pdf,https://welc.ing/packets/pkt-oydz7a/pitch.html,https://welc.ing/packets/pkt-oydz7a/pitch.mp4
Anthropic,"Forward Deployed Engineer, Applied AI",New York City,anthropic,curated-role,https://boards.greenhouse.io/anthropic,live,,https://welc.ing/r/pkt-1kvr70d,https://welc.ing/packets/pkt-1kvr70d/resume-light.pdf,https://welc.ing/packets/pkt-1kvr70d/resume.pdf,https://welc.ing/packets/pkt-1kvr70d/cover-letter.txt,https://welc.ing/packets/pkt-1kvr70d/cover-letter.pdf,https://welc.ing/packets/pkt-1kvr70d/pitch.html,https://welc.ing/packets/pkt-1kvr70d/pitch.mp4
Runlayer,"Forward Deployed Engineer / MoTS, Identity",Remote (US),runlayer,curated-role,https://www.runlayer.com/careers,live,,https://welc.ing/r/pkt-runk89,https://welc.ing/packets/pkt-runk89/resume-light.pdf,https://welc.ing/packets/pkt-runk89/resume.pdf,https://welc.ing/packets/pkt-runk89/cover-letter.txt,https://welc.ing/packets/pkt-runk89/cover-letter.pdf,https://welc.ing/packets/pkt-runk89/pitch.html,https://welc.ing/packets/pkt-runk89/pitch.mp4
Harvey,Founding Forward Deployed Engineer,New York City,harvey,curated-role,https://jobs.ashbyhq.com/harvey,unknown,,https://welc.ing/r/pkt-1qefkga,https://welc.ing/packets/pkt-1qefkga/resume-light.pdf,https://welc.ing/packets/pkt-1qefkga/resume.pdf,https://welc.ing/packets/pkt-1qefkga/cover-letter.txt,https://welc.ing/packets/pkt-1qefkga/cover-letter.pdf,https://welc.ing/packets/pkt-1qefkga/pitch.html,https://welc.ing/packets/pkt-1qefkga/pitch.mp4
